Wall time,Step,Value
1591862543.704242,48,0.0
1591862958.378555,179,0.0
1591862977.228738,241,0.0
1591863052.123506,486,0.5
1591863071.233083,548,0.0
1591863216.251004,591,0.0
1591863218.39529,598,0.3333333432674408
1591863236.921548,659,0.0
1591863257.671764,727,1.0
1591863286.36983,821,0.0
1591863350.466123,1027,0.0
1591863577.757987,1346,0.6666666865348816
1591863593.568159,1398,0.5
1591863609.002727,1449,0.0
1591863825.318645,1747,1.0
1591863826.231764,1750,0.0
1591863869.0416,1890,0.0
1591864128.588293,2321,0.0
1591864153.359393,2403,1.0
1591864182.278178,2499,0.0
1591864182.581742,2500,0.0
1591864242.969773,2699,1.0
1591864541.373205,3245,0.3333333432674408
1591864546.23526,3261,1.0
1591864564.396668,3320,1.0
1591864786.176441,3633,0.0
1591864786.804159,3635,0.0
1591865012.704802,3971,1.0
1591865124.49307,4332,0.0
1591865149.599982,4415,0.0
1591865177.423232,4507,0.0
1591865317.384819,4524,0.0
1591865458.024147,4987,0.5
1591865640.030723,5150,0.3333333432674408
1591865703.878925,5361,1.0
1591865946.280174,5740,0.0
1591866002.267386,5924,0.0
1591866028.946099,6007,1.0
1591866223.045282,6218,0.6666666865348816
1591866375.898988,6717,0.5
1591866379.596897,6729,0.0
1591866548.442572,6872,0.0
1591866582.247781,6984,0.0
1591866641.67994,7173,0.5
1591866865.260677,7478,0.5
1591866866.205008,7481,1.0
1591866967.979304,7817,1.0
1591866978.480066,7852,1.0
1591867173.771371,8086,0.6666666865348816
1591867208.675819,8200,0.0
1591867221.467797,8242,0.0
1591867431.01327,8519,0.0
1591867434.166326,8529,1.0
1591867546.456358,8899,0.5
1591867563.744484,8956,0.3333333432674408
1591867791.083355,9281,0.0
1591867853.965571,9489,0.0
1591868013.351566,9575,0.0
1591868057.160667,9719,1.0
1591868400.589481,10421,0.0
1591868424.896709,10501,0.0
1591868438.122699,10544,0.5
1591868688.793028,10927,1.0
1591868707.329954,10988,0.5
1591868725.476062,11042,1.0
1591869003.525863,11554,0.5
1591869013.736132,11588,0.5
