Wall time,Step,Value
1589901136.546593,43,0.0
1589901307.922977,168,0.0
1589901341.410224,230,0.0
1589901344.100006,235,0.0
1589901559.6923,475,0.0
1589901592.834996,537,0.0
1589901615.523896,580,0.0
1589901619.140467,587,0.0
1589901644.764539,635,0.0
1589901651.449355,648,0.0
1589901687.215108,715,0.0
1589901773.872406,809,0.0
1589901883.571357,1015,0.0
1589902088.113441,1334,0.0
1589902115.655142,1386,0.0
1589902119.258936,1393,0.0
1589902142.807559,1437,0.0
1589902312.973234,1692,0.0
1589902335.676859,1735,0.0
1589902337.287772,1738,0.0
1589902411.457904,1878,0.0
1589902432.692161,1918,0.0
1589902532.061944,2037,0.0
1589902618.309179,2200,0.0
1589902675.72682,2308,0.0
1589902753.693652,2390,0.0
1589902804.689995,2486,0.0
1589902805.224667,2487,0.0
1589902910.690987,2686,0.0
1589903134.603399,3039,0.0
1589903271.041635,3231,0.0
1589903279.588862,3247,0.0
1589903311.094873,3306,0.0
1589903512.383442,3619,0.0
1589903513.450657,3621,0.0
1589903540.14557,3671,0.0
1589903577.514324,3742,0.0
1589903616.104073,3815,0.0
1589903619.842237,3822,0.0
1589903725.775267,3957,0.0
1589903916.937143,4318,0.0
1589903997.45015,4401,0.0
1589904046.480178,4493,0.0
1589904055.552403,4510,0.0
1589904144.394708,4677,0.0
1589904238.372547,4789,0.0
1589904335.162113,4972,0.0
1589904457.137141,5135,0.0
1589904569.146171,5346,0.0
1589904576.49008,5360,0.0
1589904804.590625,5724,0.0
1589904879.739174,5865,0.0
1589904939.481194,5908,0.0
1589904983.700834,5991,0.0
1589905095.591631,6201,0.0
1589905105.482925,6220,0.0
1589905330.033479,6575,0.0
1589905433.291416,6700,0.0
1589905439.694958,6712,0.0
1589905515.2542,6855,0.0
1589905574.66525,6967,0.0
1589905711.597825,7156,0.0
1589905832.422855,7383,0.0
1589905909.161434,7461,0.0
1589905910.765711,7464,0.0
1589905936.255064,7512,0.0
1589906088.12607,7799,0.0
1589906106.283029,7834,0.0
1589906225.281994,7992,0.0
1589906265.292107,8067,0.0
1589906325.928641,8181,0.0
1589906383.952169,8222,0.0
1589906459.416277,8364,0.0
1589906530.870156,8499,0.0
1589906536.205288,8509,0.0
1589906585.755432,8602,0.0
1589906768.553269,8879,0.0
1589906798.999234,8936,0.0
1589906829.842664,8994,0.0
1589907005.056577,9261,0.0
1589907151.311659,9469,0.0
1589907196.938261,9555,0.0
1589907203.870994,9568,0.0
1589907273.607351,9699,0.0
1589907418.639037,9908,0.0
1589907649.475493,10277,0.0
1589907714.432759,10400,0.0
1589907756.668372,10480,0.0
1589907779.614815,10523,0.0
1589907858.524281,10608,0.0
1589907949.698154,10781,0.0
1589908014.730538,10903,0.0
1589908016.334576,10906,0.0
1589908083.820572,10967,0.0
1589908112.741991,11021,0.0
1589908156.426645,11103,0.0
1589908432.11873,11533,0.0
1589908450.355494,11567,0.0
1589908513.454672,11686,0.0
1589908599.742427,11760,0.0
1589908710.908758,11970,0.0
1589908713.592296,11975,0.0
1589908862.734482,12165,0.0
1589908929.243543,12291,0.0
1589909288.496065,12878,0.0
