Wall time,Step,Value
1589376154.659151,43,0.6666666865348816
1589376302.322784,95,1.0
1589376323.874217,168,0.5
1589376342.104743,230,0.0
1589376343.583217,235,0.3333333432674408
1589376355.073614,274,0.3333333432674408
1589376365.325696,309,0.25
1589376365.915342,311,0.0
1589376368.207025,319,0.5
1589376413.868026,475,0.0
1589376431.92636,537,0.75
1589376477.26073,580,0.5
1589376479.32293,587,0.0
1589376493.255945,635,1.0
1589376497.09193,648,0.3333333432674408
1589376516.738188,715,0.6666666865348816
1589376544.114005,809,1.0
1589376605.267564,1015,0.5
1589376620.296573,1067,0.3333333432674408
1589376726.70005,1317,0.6666666865348816
1589376731.621198,1334,0.0
1589376732.79972,1338,0.0
1589376746.838382,1386,0.5
1589376748.893804,1393,1.0
1589376761.846391,1437,0.0
1589376869.113313,1692,0.5
1589376881.60119,1735,1.0
1589376882.482579,1738,0.0
1589376923.086159,1878,0.0
1589376934.79102,1918,0.5
1589376970.01691,2037,1.0
1589376987.713356,2097,0.5
1589377050.523146,2200,1.0
1589377068.965218,2263,0.0
1589377081.936332,2308,1.0
1589377105.926608,2390,1.0
1589377119.640143,2437,0.25
1589377134.119234,2486,0.25
1589377134.416366,2487,0.3333333432674408
1589377137.87823,2499,0.0
1589377147.744152,2533,0.3333333432674408
1589377225.770054,2686,0.6666666865348816
1589377241.730204,2741,1.0
1589377329.796046,3039,0.6666666865348816
1589377418.682156,3231,0.5
1589377423.386463,3247,1.0
1589377440.447722,3306,0.3333333432674408
1589377532.139407,3619,1.0
1589377532.729,3621,0.5
1589377547.340711,3671,0.3333333432674408
1589377602.229118,3742,0.3333333432674408
1589377623.43507,3815,0.0
1589377625.513123,3822,0.0
1589377656.928383,3929,0.0
1589377665.076522,3957,0.3333333432674408
1589377689.336357,4037,1.0
1589377736.329837,4197,0.75
1589377806.526388,4318,0.3333333432674408
1589377830.407631,4401,0.3333333432674408
1589377857.44374,4493,0.5
1589377862.484262,4510,0.5
1589377908.991445,4669,0.6666666865348816
1589377911.364932,4677,0.0
1589377979.576156,4789,0.5
1589378033.246818,4972,1.0
1589378073.43028,5107,1.0
1589378081.641324,5135,0.0
1589378177.676219,5346,1.0
1589378181.823203,5360,0.0
1589378237.688682,5550,0.5
1589378275.973831,5680,0.25
1589378289.014387,5724,0.0
1589378313.987558,5809,0.0
1589378365.434458,5865,1.0
1589378367.530977,5872,0.5
1589378378.055825,5908,0.0
1589378402.376049,5991,0.5
1589378464.268526,6201,1.0
1589378469.758592,6220,1.0
1589378490.097193,6290,1.0
1589378606.963225,6575,0.75
1589378615.33089,6604,0.5
1589378643.539723,6700,0.5
1589378647.08058,6712,0.3333333432674408
1589378688.714475,6855,1.0
1589378754.640085,6967,0.3333333432674408
1589378798.39465,7115,0.5
1589378810.39212,7156,0.5
1589378876.238793,7383,1.0
1589378932.239037,7461,1.0
1589378933.120648,7464,0.0
1589378947.021696,7512,0.6666666865348816
1589379027.985931,7789,0.3333333432674408
1589379030.928457,7799,0.6666666865348816
1589379041.157199,7834,0.5
1589379119.370481,7992,0.6666666865348816
1589379142.123576,8067,0.5
1589379175.541434,8181,0.75
1589379187.486372,8222,0.5
1589379228.587757,8364,0.0
1589379232.699874,8378,1.0
1589379301.577005,8499,0.75
1589379304.517462,8509,0.25
1589379331.611858,8602,0.0
1589379412.298648,8879,0.0
1589379426.770872,8929,0.5
1589379428.825161,8936,1.0
1589379480.230174,8994,0.3333333432674408
1589379558.841759,9261,0.0
1589379619.595336,9469,0.6666666865348816
1589379678.460846,9555,0.0
1589379682.285129,9568,0.6666666865348816
1589379715.265704,9681,0.75
1589379720.483114,9699,0.6666666865348816
1589379762.68505,9844,1.0
1589379781.213845,9908,0.0
1589379923.11195,10277,0.0
1589379925.169196,10284,0.3333333432674408
1589379958.748305,10400,0.3333333432674408
1589379982.132852,10480,0.5
1589379994.609663,10523,0.5
1589380052.931884,10608,1.0
1589380096.687528,10758,0.5
1589380096.980176,10759,0.3333333432674408
1589380103.444051,10781,0.5
1589380123.924051,10851,1.0
1589380139.071709,10903,0.0
1589380139.954329,10906,0.3333333432674408
1589380157.779231,10967,0.3333333432674408
1589380160.14592,10975,0.6666666865348816
1589380174.387857,11021,0.5
1589380231.671492,11103,0.0
1589380324.432091,11420,0.5
1589380339.998491,11473,1.0
1589380345.878944,11493,0.5
1589380357.453168,11533,1.0
1589380367.281026,11567,0.6666666865348816
1589380435.581028,11686,0.6666666865348816
1589380457.030876,11760,0.3333333432674408
1589380517.801732,11970,0.5
1589380519.196247,11975,0.5
1589380567.808441,12139,0.0
1589380608.575925,12165,0.3333333432674408
1589380645.085763,12291,0.6666666865348816
1589380800.604371,12672,0.3333333432674408
1589380860.676702,12878,1.0
1589380878.875777,12940,0.75
1589380907.548042,13035,1.0
1589380915.413249,13062,0.6666666865348816
