Wall time,Step,Value
1589473743.220375,43,0.3333333432674408
1589473891.880065,95,1.0
1589473917.17825,168,0.5
1589473938.693771,230,0.0
1589473940.406758,235,0.0
1589473953.755209,274,0.6666666865348816
1589473965.806077,309,0.75
1589473966.57839,311,0.3333333432674408
1589473969.372971,319,0.5
1589474023.468342,475,0.0
1589474044.670505,537,0.75
1589474093.656936,580,0.5
1589474096.228074,587,0.0
1589474112.903584,635,1.0
1589474117.607326,648,0.3333333432674408
1589474140.914667,715,0.3333333432674408
1589474173.387843,809,1.0
1589474245.666924,1015,0.5
1589474263.490926,1067,0.3333333432674408
1589474384.349015,1317,0.3333333432674408
1589474390.076589,1334,0.0
1589474391.467992,1338,0.0
1589474408.087642,1386,1.0
1589474410.502292,1393,1.0
1589474425.637395,1437,0.0
1589474547.278884,1692,0.5
1589474561.735822,1735,1.0
1589474562.820149,1738,0.0
1589474610.605964,1878,0.0
1589474624.379861,1918,0.5
1589474666.134073,2037,1.0
1589474687.004471,2097,0.5
1589474755.428735,2200,0.0
1589474776.890835,2263,0.25
1589474792.096,2308,1.0
1589474819.923475,2390,1.0
1589474836.156711,2437,0.5
1589474853.037185,2486,0.5
1589474853.33118,2487,0.6666666865348816
1589474857.535715,2499,0.0
1589474869.107721,2533,0.3333333432674408
1589474956.216802,2686,0.6666666865348816
1589474975.037653,2741,1.0
1589475078.263589,3039,0.6666666865348816
1589475177.08561,3231,1.0
1589475182.648104,3247,1.0
1589475202.85323,3306,0.6666666865348816
1589475310.746425,3619,1.0
1589475311.509778,3621,0.75
1589475328.556357,3671,0.3333333432674408
1589475386.570021,3742,0.3333333432674408
1589475411.332071,3815,1.0
1589475413.75979,3822,0.0
1589475450.435877,3929,0.75
1589475460.116442,3957,0.3333333432674408
1589475488.832458,4037,0.5
1589475548.419745,4197,1.0
1589475629.170551,4318,0.3333333432674408
1589475661.73685,4401,0.3333333432674408
1589475695.30356,4493,0.5
1589475701.12863,4510,1.0
1589475755.59411,4669,0.6666666865348816
1589475758.466822,4677,0.0
1589475830.937017,4789,0.75
1589475894.093461,4972,1.0
1589475941.31781,5107,1.0
1589475950.994309,5135,0.0
1589476055.961681,5346,1.0
1589476060.772148,5360,1.0
1589476126.639926,5550,1.0
1589476171.663891,5680,0.5
1589476187.20508,5724,0.6666666865348816
1589476216.808932,5809,0.5
1589476270.584068,5865,1.0
1589476273.026054,5872,0.5
1589476285.443954,5908,0.5
1589476313.78836,5991,0.25
1589476386.192483,6201,0.0
1589476392.71591,6220,1.0
1589476416.560588,6290,0.5
1589476548.116513,6575,0.75
1589476558.119699,6604,0.5
1589476591.245079,6700,1.0
1589476595.440203,6712,0.3333333432674408
1589476644.245891,6855,0.6666666865348816
1589476716.343981,6967,0.3333333432674408
1589476768.117078,7115,0.5
1589476782.236579,7156,0.5
1589476860.475925,7383,0.6666666865348816
1589476921.105855,7461,1.0
1589476922.15048,7464,1.0
1589476938.526969,7512,0.3333333432674408
1589477033.636537,7789,0.6666666865348816
1589477037.198278,7799,0.6666666865348816
1589477049.032285,7834,0.5
1589477136.066461,7992,1.0
1589477162.474929,8067,0.75
1589477201.551866,8181,1.0
1589477215.645654,8222,1.0
1589477263.887668,8364,0.5
1589477268.84665,8378,1.0
1589477344.293305,8499,0.25
1589477347.894502,8509,0.75
1589477380.149275,8602,0.0
1589477476.162915,8879,1.0
1589477493.444646,8929,0.5
1589477495.883732,8936,1.0
1589477550.955541,8994,0.3333333432674408
1589477643.711942,9261,0.0
1589477715.97922,9469,0.3333333432674408
1589477783.081849,9555,0.3333333432674408
1589477788.009708,9568,1.0
1589477831.381577,9681,1.0
1589477838.262926,9699,0.3333333432674408
1589477893.889344,9844,0.5
1589477915.722832,9908,0.0
1589478077.718144,10277,0.5
1589478080.041587,10284,0.3333333432674408
1589478120.032273,10400,0.6666666865348816
1589478147.67956,10480,0.5
1589478162.365363,10523,0.75
1589478225.206019,10608,1.0
1589478276.590635,10758,1.0
1589478276.955191,10759,0.6666666865348816
1589478284.537627,10781,0.75
1589478308.446675,10851,1.0
1589478326.37438,10903,0.0
1589478327.289759,10906,1.0
1589478348.456551,10967,1.0
1589478351.113435,10975,0.6666666865348816
1589478367.54762,11021,0.5
1589478429.57192,11103,0.0
1589478539.329365,11420,0.5
1589478557.896154,11473,1.0
1589478564.93379,11493,1.0
1589478578.686839,11533,1.0
1589478589.814016,11567,1.0
1589478664.870094,11686,0.6666666865348816
1589478690.297316,11760,0.3333333432674408
1589478762.485094,11970,0.5
1589478764.0566,11975,1.0
1589478821.741411,12139,0.5
1589478863.955486,12165,0.6666666865348816
1589478907.155673,12291,0.6666666865348816
1589479072.586254,12672,0.3333333432674408
1589479143.719839,12878,1.0
1589479165.258103,12940,0.5
1589479198.539756,13035,0.75
1589479207.648504,13062,1.0
1589479218.950288,13095,0.0
1589479224.138195,13110,0.75
1589479358.692996,13403,1.0
1589479408.089611,13547,0.5
1589479425.738374,13598,0.25
1589479433.841659,13621,0.3333333432674408
1589479533.109007,13811,0.5
1589479558.39894,13885,1.0
1589479626.446391,14081,0.3333333432674408
1589479674.815794,14222,1.0
1589479733.343049,14295,0.3333333432674408
1589479742.350153,14321,1.0
1589479748.531113,14339,1.0
1589479768.736891,14398,0.5
1589479785.900579,14448,0.75
1589479850.037781,14633,0.5
1589479852.10536,14639,1.0
1589479862.216248,14669,1.0
1589479868.853583,14688,1.0
1589479933.904029,14780,0.75
1589479945.628986,14810,0.5
1589479970.850818,14874,1.0
1589479978.161651,14893,1.0
1589480056.347874,15091,0.6666666865348816
1589480173.13281,15325,0.5
1589480224.872877,15474,0.6666666865348816
1589480225.46426,15476,0.75
1589480236.517085,15508,0.5
1589480317.293884,15741,1.0
1589480325.706352,15765,0.6666666865348816
1589480481.43079,16117,1.0
1589480527.21672,16250,1.0
1589480552.425008,16322,1.0
1589480714.819482,16698,0.75
1589480753.599509,16810,0.0
1589480769.838781,16858,1.0
1589480819.635976,16900,0.5
1589480878.207811,17067,1.0
1589480888.573569,17098,1.0
1589480955.938961,17293,0.0
1589480964.545838,17318,0.75
1589480972.010889,17340,1.0
1589481075.542076,17544,1.0
1589481080.635413,17558,0.5
1589481090.570905,17587,0.6666666865348816
1589481093.174802,17595,1.0
1589481249.941321,17954,1.0
1589481272.817794,18019,1.0
1589481288.82234,18066,1.0
1589481421.032528,18452,0.6666666865348816
1589481629.095868,18959,0.5
1589481717.893824,19117,1.0
1589481736.202318,19170,1.0
1589481771.159831,19272,1.0
1589481894.574983,19532,0.6666666865348816
1589481932.329273,19641,1.0
1589481937.214717,19655,0.75
1589481963.563383,19732,0.5
1589482003.215259,19847,0.75
1589482035.261458,19939,0.75
1589482090.149135,19996,0.6666666865348816
1589482106.721613,20036,0.0
1589482113.754551,20054,1.0
1589482117.251757,20063,0.5
1589482147.188527,20139,1.0
1589482187.80828,20245,1.0
