Wall time,Step,Value
1589749315.537827,43,0.0
1589749475.736196,168,0.0
1589749493.694448,230,0.0
1589749564.645473,475,0.0
1589749582.704865,537,0.0
1589749631.569019,580,0.0
1589749633.628406,587,0.0
1589749651.182329,648,0.0
1589749670.665218,715,0.0
1589749698.032476,809,0.0
1589749758.528907,1015,0.0
1589749887.447749,1334,0.0
1589749902.505835,1386,0.0
1589749917.307012,1437,0.0
1589750040.915388,1735,0.0
1589750041.791291,1738,0.0
1589750082.522497,1878,0.0
1589750244.059049,2308,0.0
1589750267.68429,2390,0.0
1589750295.334244,2486,1.0
1589750295.624643,2487,0.0
1589750353.069796,2686,0.0
1589750549.188105,3231,0.0
1589750553.794992,3247,0.0
1589750571.003747,3306,0.0
1589750696.904615,3619,0.0
1589750697.4893,3621,0.5
1589750832.242355,3957,0.0
1589750937.04898,4318,1.0
1589750960.919526,4401,0.0
1589750987.247867,4493,0.0
1589750992.090301,4510,0.0
1589751162.32449,4972,0.5
1589751247.878848,5135,0.0
1589751308.554228,5346,1.0
1589751454.428522,5724,1.0
1589751507.632069,5908,0.0
1589751531.594524,5991,0.0
1589751593.032598,6201,0.5
1589751775.168346,6700,0.5
1589751778.68587,6712,0.25
1589751856.501432,6855,0.0
1589751888.674276,6967,0.0
1589751943.871032,7156,0.0
1589752069.305639,7461,0.3333333432674408
1589752070.184826,7464,0.75
1589752166.391344,7799,0.3333333432674408
1589752176.571858,7834,0.0
1589752281.806672,8067,0.0
1589752314.605484,8181,0.0
1589752326.592593,8222,1.0
1589752442.44046,8499,0.0
1589752445.28574,8509,0.5
1589752552.2798,8879,0.0
1589752568.84809,8936,0.0
1589752700.99727,9261,0.0
1589752760.974176,9469,0.0
1589752823.848282,9555,0.6666666865348816
1589752865.548354,9699,0.0
1589753105.905193,10400,0.0
1589753128.95191,10480,1.0
1589753141.456029,10523,0.5
1589753290.511169,10906,1.0
1589753308.246276,10967,0.0
1589753324.464448,11021,0.0
1589753509.580452,11533,1.0
1589753519.392092,11567,1.0
1589753553.79033,11686,0.25
1589753673.192817,11970,0.3333333432674408
1589753674.64927,11975,0.0
1589753730.339511,12165,0.0
1589753766.467324,12291,1.0
1589753973.023112,12878,0.0
1589754055.128776,13035,0.0
1589754062.868789,13062,0.0
1589754256.778934,13598,0.5
1589754263.38175,13621,0.0
1589754495.998758,14295,1.0
1589754640.833129,14669,0.0
1589754672.68023,14780,0.0
1589754699.824117,14874,0.0
1589754910.265793,15474,0.0
1589755030.787676,15765,0.0
1589755132.86268,16117,0.0
1589755420.508712,16858,0.0
1589755481.345794,17067,0.0
1589755490.136453,17098,0.3333333432674408
1589755553.684826,17318,0.0
1589755560.036085,17340,0.0
1589755655.416132,17544,1.0
1589755659.434896,17558,0.0
1589755956.294402,18452,0.0
1589756238.351449,19170,0.0
1589756342.632608,19532,1.0
1589756373.898187,19641,0.0
1589756437.157059,19732,1.0
1589756513.161764,19996,0.0
1589756530.67175,20054,0.0
1589756533.23631,20063,1.0
1589756622.188971,20245,1.0
1589756624.524987,20253,0.0
1589756645.085016,20324,0.0
1589756678.829136,20441,0.0
1589756707.220585,20540,0.0
1589756718.55107,20579,0.6666666865348816
1589756814.338028,20780,0.0
1589756815.211965,20783,0.0
1589756836.456335,20856,0.0
1589756901.796367,21081,0.0
1589756920.297665,21145,0.3333333432674408
1589756945.951477,21233,1.0
1589757008.633565,21320,0.0
1589757161.152904,21849,0.3333333432674408
1589757312.480355,22246,0.6666666865348816
1589757337.095334,22331,0.0
1589757345.149448,22359,0.0
1589757645.968559,23139,0.5
1589757648.82517,23149,0.0
1589757661.540276,23193,0.0
1589757688.818131,23287,1.0
1589757710.555686,23362,0.0
1589757729.747254,23428,0.0
1589757762.647712,23541,0.5
1589757838.780491,23671,0.0
1589757847.809667,23702,1.0
1589757977.209409,24148,0.0
1589758053.334472,24283,0.0
1589758053.917265,24285,0.0
1589758064.82537,24323,0.0
1589758151.19744,24622,0.5
1589758219.034802,24728,0.0
1589758279.185367,24935,0.3333333432674408
1589758371.822272,25254,1.0
1589758449.109484,25392,0.3333333432674408
1589758570.919491,25813,0.3333333432674408
1589758618.886036,25848,1.0
1589758640.200407,25922,0.0
1589758750.957018,26304,0.5
1589758930.879354,26798,0.0
1589758931.170627,26799,0.0
1589759071.803606,27155,1.0
1589759173.233002,27506,0.0
1589759238.650479,27604,0.25
1589759248.844216,27639,1.0
1589759302.611226,27826,0.0
1589759329.07376,27917,0.0
1589759517.403968,28439,0.0
1589759547.574545,28544,0.5
1589759708.150921,28971,1.0
1589759715.753918,28997,0.0
1589759735.476621,29063,0.0
1589759813.922755,29202,0.5
1589759831.858101,29264,0.0
1589759892.114071,29472,0.0
1589759932.443911,29612,0.0
1589760033.150685,29830,0.6666666865348816
1589760084.995933,30006,0.5
1589760092.398528,30032,1.0
1589760133.579771,30175,0.0
1589760214.422589,30328,0.0
1589760255.765648,30471,0.0
1589760296.876703,30613,0.5
1589760323.976555,30707,0.0
1589760328.086693,30721,1.0
1589760564.651427,31407,0.0
1589760612.637286,31444,0.0
1589760738.678077,31881,0.6666666865348816
1589760755.062426,31937,0.3333333432674408
1589760871.661844,32208,0.3333333432674408
1589760937.747737,32436,1.0
1589760968.536699,32543,0.6666666865348816
1589761038.189437,32658,0.0
