Wall time,Step,Value
1591862543.705108,48,0.0
1591862958.379701,179,0.5
1591862977.229663,241,0.5
1591863052.12464,486,0.0
1591863071.234995,548,0.0
1591863216.25212,591,0.0
1591863218.396164,598,0.3333333432674408
1591863236.9225,659,0.0
1591863257.672883,727,1.0
1591863286.370538,821,0.0
1591863350.474996,1027,0.0
1591863577.759458,1346,0.3333333432674408
1591863593.569822,1398,0.5
1591863609.004202,1449,0.0
1591863825.319691,1747,1.0
1591863826.232685,1750,0.0
1591863869.04244,1890,0.5
1591864128.589233,2321,1.0
1591864153.360707,2403,1.0
1591864182.279401,2499,0.0
1591864182.583196,2500,1.0
1591864242.97127,2699,0.5
1591864541.374116,3245,0.6666666865348816
1591864546.236152,3261,0.5
1591864564.397345,3320,0.5
1591864786.178229,3633,0.0
1591864786.805513,3635,0.0
1591865012.706139,3971,1.0
1591865124.494376,4332,0.0
1591865149.601107,4415,0.0
1591865177.424149,4507,0.0
1591865317.386443,4524,0.0
1591865458.025237,4987,0.5
1591865640.031673,5150,0.0
1591865703.879607,5361,1.0
1591865946.281575,5740,0.0
1591866002.268337,5924,0.5
1591866028.94684,6007,1.0
1591866223.04638,6218,0.6666666865348816
1591866375.899759,6717,1.0
1591866379.598047,6729,0.0
1591866548.443737,6872,1.0
1591866582.249321,6984,0.0
1591866641.681274,7173,1.0
1591866865.262274,7478,0.5
1591866866.206348,7481,1.0
1591866967.98012,7817,1.0
1591866978.480857,7852,1.0
1591867173.772137,8086,0.6666666865348816
1591867208.676679,8200,0.0
1591867221.468525,8242,0.0
1591867431.014096,8519,0.0
1591867434.167611,8529,1.0
1591867546.457725,8899,0.0
1591867563.74571,8956,0.6666666865348816
1591867791.084265,9281,0.0
1591867853.966432,9489,1.0
1591868013.352381,9575,0.0
1591868057.165621,9719,1.0
1591868400.590861,10421,0.0
1591868424.898185,10501,0.5
1591868438.123623,10544,0.5
1591868688.79432,10927,0.0
1591868707.331464,10988,1.0
1591868725.477237,11042,1.0
1591869003.52737,11554,0.5
1591869013.737434,11588,0.5
1591869049.889145,11707,0.0
1591869264.565399,11991,1.0
1591869266.083186,11996,0.5
