Wall time,Step,Value
1589901136.547599,43,0.0
1589901307.924119,168,0.0
1589901341.411222,230,0.0
1589901344.10104,235,0.0
1589901559.693338,475,0.0
1589901592.836028,537,0.0
1589901615.524958,580,0.0
1589901619.141347,587,0.0
1589901644.765581,635,0.0
1589901651.450552,648,0.0
1589901687.215954,715,0.0
1589901773.873392,809,0.0
1589901883.572333,1015,0.0
1589902088.114513,1334,0.0
1589902115.656184,1386,0.0
1589902119.259925,1393,0.0
1589902142.808562,1437,0.0
1589902312.974253,1692,0.0
1589902335.677926,1735,0.0
1589902337.288314,1738,0.0
1589902411.458878,1878,0.0
1589902432.693096,1918,0.0
1589902532.062954,2037,0.0
1589902618.310204,2200,0.0
1589902675.727782,2308,0.0
1589902753.694644,2390,0.0
1589902804.690958,2486,0.0
1589902805.225661,2487,0.0
1589902910.691914,2686,0.0
1589903134.60439,3039,0.0
1589903271.042631,3231,0.0
1589903279.589886,3247,0.0
1589903311.095772,3306,0.0
1589903512.384338,3619,0.0
1589903513.451291,3621,0.0
1589903540.146552,3671,0.0
1589903577.515257,3742,0.0
1589903616.105054,3815,0.0
1589903619.843165,3822,0.0
1589903725.776276,3957,0.0
1589903916.938302,4318,0.0
1589903997.451183,4401,0.0
1589904046.48114,4493,0.0
1589904055.553307,4510,0.0
1589904144.395674,4677,0.0
1589904238.373257,4789,0.0
1589904335.163093,4972,0.0
1589904457.13816,5135,0.0
1589904569.1471,5346,0.0
1589904576.491107,5360,0.0
1589904804.591625,5724,0.0
1589904879.739944,5865,0.0
1589904939.482283,5908,0.0
1589904983.70177,5991,0.0
1589905095.592434,6201,0.0
1589905105.483759,6220,0.0
1589905330.034428,6575,0.0
1589905433.292415,6700,0.0
1589905439.695666,6712,0.0
1589905515.255211,6855,0.0
1589905574.666039,6967,0.0
1589905711.598713,7156,0.0
1589905832.423777,7383,0.0
1589905909.162441,7461,0.0
1589905910.766695,7464,0.0
1589905936.256016,7512,0.0
1589906088.126669,7799,0.0
1589906106.28402,7834,0.0
1589906225.282985,7992,0.0
1589906265.292761,8067,0.0
1589906325.929634,8181,0.0
1589906383.953178,8222,0.0
1589906459.417275,8364,0.0
1589906530.871168,8499,0.0
1589906536.206248,8509,0.0
1589906585.7564,8602,0.0
1589906768.554279,8879,0.0
1589906799.000215,8936,0.0
1589906829.843641,8994,0.0
1589907005.057422,9261,0.0
1589907151.312586,9469,0.0
1589907196.938877,9555,0.0
1589907203.871967,9568,0.0
1589907273.607942,9699,0.0
1589907418.640013,9908,0.0
1589907649.476446,10277,0.0
1589907714.433718,10400,0.0
1589907756.669367,10480,0.0
1589907779.615771,10523,0.0
1589907858.525294,10608,0.0
1589907949.699137,10781,0.0
1589908014.731533,10903,0.0
1589908016.335604,10906,0.0
1589908083.821496,10967,0.0
1589908112.742979,11021,0.0
1589908156.427668,11103,0.0
1589908432.119726,11533,0.0
1589908450.356478,11567,0.0
1589908513.455406,11686,0.0
1589908599.743399,11760,0.0
1589908710.909776,11970,0.0
1589908713.593109,11975,0.0
1589908862.735478,12165,0.0
1589908929.244274,12291,0.0
1589909288.497372,12878,0.0
1589909419.928936,13035,0.0
1589909434.111727,13062,0.0
1589909741.031677,13547,0.0
1589909767.793964,13598,0.0
1589909780.10754,13621,0.0
1589909928.767287,13811,0.0
1589910195.173951,14222,0.0
1589910233.732193,14295,0.0
1589910257.050415,14339,0.0
1589910315.350407,14448,0.0
1589910464.641234,14639,0.0
1589910480.727009,14669,0.0
1589910539.790836,14780,0.0
1589910637.631429,14874,0.0
1589911002.279718,15474,0.0
1589911020.360337,15508,0.0
1589911194.312663,15741,0.0
1589911207.029474,15765,0.0
1589911442.216522,16117,0.0
1589911513.13685,16250,0.0
1589911551.395807,16322,0.0
1589911860.555528,16810,0.0
1589911933.244119,16858,0.0
1589912044.11841,17067,0.0
1589912060.583464,17098,0.0
1589912224.8993,17318,0.0
1589912236.667276,17340,0.0
1589912345.122071,17544,0.0
1589912352.620203,17558,0.0
1589912974.076299,18452,0.0
1589913374.789484,19117,0.0
1589913450.122566,19170,0.0
1589913690.157558,19532,0.0
1589913748.462276,19641,0.0
1589913755.830675,19655,0.0
1589913796.818146,19732,0.0
1589913858.078804,19847,0.0
1589913986.177555,19996,0.0
1589914017.354806,20054,0.0
1589914022.185061,20063,0.0
1589914062.928368,20139,0.0
1589914119.328186,20245,0.0
1589914123.621569,20253,0.0
1589914210.135055,20324,0.0
1589914272.576386,20441,0.0
1589914325.508174,20540,0.3333333432674408
1589914326.044905,20541,0.0
1589914346.139266,20579,0.0
1589914499.620703,20780,0.0
1589914501.232575,20783,0.0
1589914540.038529,20856,0.0
1589914706.806344,21081,0.0
1589914740.961957,21145,0.0
1589914787.552067,21233,0.0
1589914833.876206,21320,0.0
1589914991.479609,21524,0.0
1589915212.608068,21849,0.0
1589915471.98067,22246,0.25
1589915517.250812,22331,0.0
1589915532.11911,22359,0.0
1589915592.486398,22473,0.0
1589916039.012842,23139,0.0
1589916044.216683,23149,0.0
1589916067.205109,23193,0.0
1589916080.978007,23219,0.0
1589916117.398094,23287,0.0
1589916157.449715,23362,0.0
1589916240.212291,23428,0.0
1589916300.207134,23541,0.0
1589916369.151818,23671,0.0
1589916375.044727,23682,0.0
1589916385.771034,23702,0.0
1589916561.324469,23939,0.0
1589916672.802666,24148,0.5
1589916791.935045,24283,0.0
1589916793.008385,24285,0.0
1589916812.966993,24323,0.0
1589916825.158757,24346,0.0
1589917020.186711,24622,0.0
1589917072.272754,24720,0.0
1589917076.421901,24728,0.0
1589917168.497883,24902,0.0
1589917186.047565,24935,0.0
1589917271.358745,25009,0.0
1589917400.940743,25254,0.0
1589917443.15924,25333,0.0
1589917522.069922,25392,0.0
1589917792.571099,25813,0.0
1589917810.898449,25848,0.0
1589917850.246949,25922,0.0
1589917927.450082,26067,0.0
1589917974.723829,26156,0.0
1589918101.28361,26304,0.0
1589918190.239188,26471,0.0
1589918412.737335,26798,0.0
1589918413.275665,26799,0.0
1589918429.602256,26830,0.0
1589918641.797094,27143,0.0
1589918648.219211,27155,0.0
1589918650.358936,27159,0.0
1589918650.893026,27160,0.0
1589918711.655161,27275,0.0
1589918881.757131,27506,0.0
1589918934.323418,27604,0.0
1589918952.943055,27639,0.0
1589919101.44255,27826,0.0
1589919150.063084,27917,0.0
1589919475.909572,28439,0.0
1589919577.267336,28544,0.0
1589919850.171353,28971,0.0
1589919863.973581,28997,0.0
1589919899.292978,29063,0.0
1589919973.020651,29202,0.0
