Wall time,Step,Value
1589376154.658133,43,0.0
1589376302.321781,95,0.0
1589376323.873204,168,0.0
1589376342.103651,230,0.0
1589376343.582542,235,0.0
1589376355.072975,274,0.0
1589376365.324857,309,0.0
1589376365.914375,311,0.0
1589376368.20634,319,0.0
1589376413.867039,475,0.0
1589376431.925356,537,0.0
1589376477.259826,580,0.0
1589376479.322026,587,0.0
1589376493.25494,635,0.5
1589376497.091011,648,0.0
1589376516.737238,715,1.0
1589376544.113069,809,0.0
1589376605.266608,1015,0.25
1589376620.295586,1067,0.0
1589376726.699151,1317,0.0
1589376731.620174,1334,0.0
1589376732.799036,1338,0.0
1589376746.837173,1386,0.0
1589376748.892845,1393,0.0
1589376761.845432,1437,0.0
1589376869.112615,1692,0.0
1589376881.6002,1735,0.0
1589376882.481633,1738,0.0
1589376923.085188,1878,0.0
1589376934.790055,1918,0.0
1589376970.015989,2037,1.0
1589376987.712384,2097,0.0
1589377050.522121,2200,0.0
1589377068.964228,2263,0.0
1589377081.935361,2308,0.0
1589377105.925639,2390,0.0
1589377119.639524,2437,0.0
1589377134.118316,2486,0.0
1589377134.415393,2487,0.0
1589377137.877243,2499,0.0
1589377147.743157,2533,0.0
1589377225.76906,2686,0.0
1589377241.729339,2741,0.0
1589377329.795077,3039,0.5
1589377418.681255,3231,0.0
1589377423.385468,3247,0.0
1589377440.446861,3306,0.0
1589377532.138432,3619,0.0
1589377532.728286,3621,0.0
1589377547.339995,3671,0.0
1589377602.228046,3742,0.0
1589377623.434027,3815,0.0
1589377625.512355,3822,0.0
1589377656.927583,3929,0.0
1589377665.075482,3957,0.0
1589377689.335373,4037,0.0
1589377736.328846,4197,0.6666666865348816
1589377806.525438,4318,0.0
1589377830.406713,4401,0.5
1589377857.442739,4493,0.0
1589377862.483519,4510,0.0
1589377908.99047,4669,0.0
1589377911.363902,4677,0.0
1589377979.575182,4789,0.0
1589378033.245907,4972,0.3333333432674408
1589378073.429289,5107,1.0
1589378081.640395,5135,0.0
1589378177.675123,5346,0.0
1589378181.822183,5360,0.0
1589378237.687715,5550,0.0
1589378275.972813,5680,0.0
1589378289.013356,5724,0.0
1589378313.986599,5809,0.0
1589378365.43343,5865,0.0
1589378367.529973,5872,0.0
1589378378.054986,5908,0.0
1589378402.375079,5991,0.0
1589378464.267538,6201,0.0
1589378469.757767,6220,0.6666666865348816
1589378490.096245,6290,1.0
1589378606.962333,6575,0.5
1589378615.329945,6604,0.0
1589378643.539135,6700,0.0
1589378647.079597,6712,0.0
1589378688.713579,6855,0.0
1589378754.639315,6967,0.0
1589378798.39365,7115,0.0
1589378810.391159,7156,0.0
1589378876.238023,7383,0.5
1589378932.238119,7461,1.0
1589378933.119763,7464,0.0
1589378947.020752,7512,0.0
1589379027.984928,7789,0.0
1589379030.927504,7799,0.6666666865348816
1589379041.156266,7834,0.0
1589379119.369499,7992,0.0
1589379142.122679,8067,0.0
1589379175.540738,8181,0.3333333432674408
1589379187.485354,8222,0.0
1589379228.586943,8364,0.0
1589379232.699071,8378,0.0
1589379301.576034,8499,0.0
1589379304.51666,8509,0.0
1589379331.611175,8602,0.0
1589379412.297745,8879,1.0
1589379426.769976,8929,0.0
1589379428.824506,8936,1.0
1589379480.229224,8994,0.0
1589379558.840751,9261,0.0
1589379619.594639,9469,0.0
1589379678.459873,9555,0.0
1589379682.284157,9568,0.0
1589379715.264865,9681,0.0
1589379720.482227,9699,0.0
1589379762.684039,9844,0.0
1589379781.21317,9908,0.0
1589379923.111101,10277,0.0
1589379925.168277,10284,0.0
1589379958.747331,10400,0.0
1589379982.131991,10480,0.0
1589379994.608657,10523,0.0
1589380052.931079,10608,0.0
1589380096.686859,10758,0.0
1589380096.979426,10759,0.0
1589380103.443379,10781,0.0
1589380123.923091,10851,0.0
1589380139.070726,10903,0.0
1589380139.953341,10906,0.0
1589380157.778268,10967,0.3333333432674408
1589380160.144941,10975,0.0
1589380174.386852,11021,0.0
1589380231.670517,11103,0.0
1589380324.431279,11420,0.0
1589380339.99743,11473,0.5
1589380345.87801,11493,0.0
1589380357.45219,11533,0.0
1589380367.28015,11567,0.0
1589380435.580066,11686,0.0
1589380457.029986,11760,0.0
1589380517.800719,11970,0.0
1589380519.195253,11975,0.0
1589380567.807789,12139,0.0
1589380608.575039,12165,0.0
1589380645.085051,12291,0.0
1589380800.603592,12672,0.5
1589380860.675958,12878,0.0
1589380878.874785,12940,0.0
1589380907.547075,13035,0.0
1589380915.412304,13062,0.0
1589380925.092505,13095,0.0
1589380929.459935,13110,0.0
1589381049.728966,13403,0.5
1589381091.739799,13547,0.0
1589381106.612011,13598,0.0
1589381113.333163,13621,0.0
1589381203.664844,13811,0.0
1589381225.383521,13885,0.0
1589381283.185155,14081,0.0
1589381324.190013,14222,0.0
1589381379.767941,14295,0.0
1589381387.363193,14321,0.0
1589381392.678441,14339,0.0
1589381410.016973,14398,0.0
1589381424.693195,14448,0.3333333432674408
1589381478.995606,14633,0.0
1589381480.694614,14639,0.0
1589381489.401336,14669,0.0
1589381494.957645,14688,0.0
1589381568.736975,14780,0.0
1589381577.574099,14810,0.0
1589381596.196265,14874,0.0
1589381601.809939,14893,0.0
1589381660.590358,15091,0.0
1589381763.968452,15325,0.0
1589381807.394215,15474,0.0
1589381807.981455,15476,0.0
1589381817.294834,15508,0.0
1589381885.09186,15741,0.0
1589381892.07794,15765,0.0
1589382042.013224,16117,0.0
1589382080.94689,16250,0.0
1589382102.025151,16322,0.0
1589382262.931315,16698,0.0
1589382295.745687,16810,0.0
1589382309.784738,16858,0.0
1589382372.023037,16900,0.0
1589382421.828294,17067,0.0
1589382430.793112,17098,0.0
1589382487.955305,17293,0.0
1589382495.293453,17318,0.0
1589382501.675153,17340,0.0
1589382614.603725,17544,0.0
1589382618.767359,17558,0.0
1589382627.298271,17587,0.0
1589382629.653323,17595,0.0
1589382790.379327,17954,0.0
1589382810.185419,18019,0.0
1589382823.884604,18066,0.0
1589382936.702966,18452,0.0
1589383137.393879,18959,0.0
1589383219.606372,19117,0.0
1589383235.202324,19170,0.0
1589383265.075183,19272,0.0
1589383374.594837,19532,0.0
1589383406.471451,19641,0.0
1589383410.601656,19655,0.0
1589383433.110165,19732,0.0
1589383466.648104,19847,0.0
1589383493.495712,19939,0.0
1589383544.455895,19996,0.0
1589383556.995178,20036,0.0
1589383562.291527,20054,0.0
1589383564.935636,20063,0.0
1589383587.048307,20139,0.0
1589383617.88604,20245,0.0
1589383620.242046,20253,0.0
1589383640.652444,20324,0.0
1589383674.73622,20441,0.0
1589383687.982693,20486,0.0
1589383703.623877,20540,0.0
1589383703.922087,20541,0.0
1589383742.777453,20563,0.0
1589383747.491057,20579,0.0
1589383806.440249,20780,0.0
1589383807.328285,20783,0.0
1589383821.604112,20832,0.0
1589383828.605819,20856,0.0
1589383929.11898,21081,0.0
1589383947.677742,21145,0.0
1589383966.619104,21210,0.0
1589383973.366603,21233,0.0
1589383998.717657,21320,0.0
1589384000.119417,21325,0.0
1589384019.526736,21392,0.0
1589384058.132921,21524,0.0
1589384138.607232,21682,0.0
1589384179.129115,21822,0.0
1589384186.666407,21849,0.0
1589384233.298684,22007,0.0
1589384374.960873,22246,0.0
1589384388.501975,22293,0.0
1589384399.402607,22331,0.0
1589384407.487907,22359,0.0
1589384440.509638,22473,0.0
1589384560.038536,22766,0.0
1589384581.791433,22841,0.0
1589384669.810911,23139,0.0
1589384672.75293,23149,0.0
1589384719.093069,23193,0.0
1589384726.622108,23219,0.0
1589384739.647915,23264,0.0
1589384746.277346,23287,0.0
1589384768.221078,23362,0.0
1589384787.54002,23428,0.0
1589384820.309718,23541,0.0
1589384858.236102,23671,0.0
1589384861.403103,23682,0.0
1589384900.849008,23702,0.0
1589384969.940502,23939,0.0
1589385011.584746,24080,0.0
1589385023.097191,24119,0.0
1589385031.648114,24148,0.0
1589385108.194366,24283,0.0
1589385108.788755,24285,0.0
1589385120.090319,24323,0.0
1589385126.795016,24346,0.0
1589385208.115117,24622,0.0
1589385236.831737,24720,0.0
1589385239.130473,24728,0.0
1589385324.829155,24902,0.0
1589385334.654324,24935,0.0
1589385357.120227,25009,0.0
1589385368.567724,25048,0.0
1589385394.449834,25134,0.0
1589385429.686287,25254,0.0
1589385488.879928,25333,0.0
1589385505.841143,25392,0.0
1589385591.868935,25687,0.0
1589385664.674173,25813,0.0
1589385674.992744,25848,0.0
1589385696.478911,25922,0.0
1589385739.688201,26067,0.0
1589385746.966201,26092,0.0
1589385765.505464,26156,0.0
1589385769.566959,26170,0.0
1589385808.89207,26304,0.0
1589385870.900191,26404,0.0
1589385890.329664,26471,0.0
1589385986.284541,26798,0.0
1589385986.579483,26799,0.0
1589386029.762344,26830,0.0
1589386122.921681,27143,0.0
1589386124.686473,27149,0.0
1589386126.450974,27155,0.0
1589386127.631773,27159,0.0
1589386127.925211,27160,0.0
1589386161.592235,27275,0.0
1589386262.28169,27506,0.0
1589386290.823194,27604,0.0
1589386295.832546,27621,0.0
1589386301.075649,27639,0.0
1589386355.867048,27826,0.0
1589386416.804153,27917,0.0
1589386426.752499,27951,0.0
1589386431.984151,27969,0.0
1589386515.689333,28252,0.0
1589386536.132444,28322,0.0
1589386603.599498,28439,0.0
1589386607.366199,28452,0.0
1589386634.265491,28544,0.0
1589386642.744208,28573,0.0
1589386653.959709,28612,0.0
1589386792.522663,28971,0.0
1589386800.018467,28997,0.0
1589386812.690812,29038,0.0
1589386820.066613,29063,0.0
1589386860.51279,29202,0.0
1589386878.667703,29264,0.0
1589386973.218955,29472,0.0
1589386977.948824,29488,0.0
1589386999.659167,29562,0.0
1589387014.332101,29612,0.0
1589387054.118686,29748,0.0
1589387078.238459,29830,0.0
1589387164.549071,30006,0.0
1589387172.071183,30032,0.0
1589387189.892214,30093,0.0
1589387213.758921,30175,0.0
1589387233.938435,30244,0.0
1589387246.031198,30285,0.0
1589387258.569849,30328,0.0
1589387297.153345,30460,0.0
1589387300.400655,30471,0.0
1589387374.69203,30613,0.0
1589387402.265022,30707,0.0
1589387406.32042,30721,0.0
1589387411.494718,30739,0.0
1589387640.246256,31407,0.5
1589387650.993613,31444,0.0
1589387758.500493,31697,0.0
1589387791.111477,31809,0.0
1589387810.186126,31874,0.0
1589387812.252794,31881,0.0
1589387828.754724,31937,0.0
1589387831.329116,31946,0.0
1589387849.404467,32005,0.0
1589387853.249714,32018,0.0
1589387933.702423,32175,0.0
1589387943.378841,32208,0.0
1589388009.829603,32436,0.0
1589388041.038306,32543,0.0
1589388108.100694,32658,0.0
1589388122.364461,32707,0.0
1589388138.605422,32763,0.0
1589388177.169754,32895,0.0
1589388179.44943,32903,0.0
1589388218.921162,33035,0.0
1589388287.124868,33153,0.0
1589388295.094365,33180,0.0
1589388295.612202,33182,0.0
1589388321.975428,33272,0.0
1589388342.479009,33342,0.0
1589388352.521922,33376,0.0
1589388360.637787,33404,0.0
1589388427.340934,33632,0.0
1589388489.874414,33729,0.0
1589388492.463218,33738,0.0
1589388495.993624,33750,0.0
1589388501.498485,33769,0.0
1589388506.490784,33786,0.0
1589388522.283935,33840,0.0
1589388525.753985,33852,0.0
1589388533.06088,33877,0.0
1589388543.928807,33914,0.0
1589388575.070665,34018,0.0
1589388580.678911,34037,0.0
1589388611.513131,34142,0.0
1589388709.294104,34363,0.0
1589388715.484532,34384,0.0
1589388731.49412,34439,0.0
1589388757.093087,34526,0.0
1589388778.809348,34600,0.0
1589388867.133103,34784,0.0
1589388964.4933,35116,0.0
1589388982.579333,35178,0.0
1589389061.765273,35334,0.0
1589389067.887948,35355,0.0
1589389070.243776,35363,0.0
1589389074.532573,35378,0.0
1589389105.509675,35484,0.0
1589389131.842422,35574,0.0
1589389189.854939,35772,0.0
1589389191.920076,35779,0.0
1589389246.447955,35850,0.0
1589389277.083897,35954,0.0
1589389281.96023,35971,0.0
1589389302.34595,36038,0.0
1589389363.540228,36247,0.0
1589389368.167931,36263,0.0
1589389371.92386,36276,0.0
1589389422.702931,36337,0.0
1589389508.270241,36630,0.0
1589389517.055763,36660,0.0
1589389522.658411,36679,0.0
1589389548.511442,36768,0.0
1589389597.316558,36820,0.0
1589389606.384933,36851,0.0
1589389623.162616,36908,0.0
1589389666.42012,37054,0.0
1589389700.015609,37170,0.0
1589389709.727449,37203,0.0
1589389817.406191,37456,0.0
1589389827.218183,37490,0.0
1589389907.300995,37765,0.0
1589389974.327141,37877,0.0
1589390067.232016,38193,0.0
1589390083.246076,38248,0.0
1589390087.602783,38263,0.0
1589390171.784639,38440,0.0
1589390176.495427,38456,0.0
1589390179.736306,38467,0.0
1589390213.090628,38581,0.0
1589390231.429139,38643,0.0
1589390248.214889,38701,0.0
1589390254.04034,38721,0.0
1589390289.215528,38841,0.0
1589390364.777743,38982,0.0
1589390372.584346,39006,0.0
1589390412.144471,39142,0.0
1589390439.96338,39238,0.0
1589390457.224106,39297,0.0
1589390460.480352,39308,0.0
1589390576.489374,39592,0.0
1589390609.002221,39703,0.0
1589390617.243848,39731,0.0
1589390632.099821,39782,0.0
1589390660.400611,39879,0.0
1589390669.565972,39910,0.0
1589390671.040768,39915,0.0
1589390736.944499,40021,0.0
1589390817.43354,40297,0.0
1589390877.450178,40501,0.0
1589390953.694917,40648,0.0
1589390958.353686,40664,0.0
1589390959.53394,40668,0.0
1589390969.078461,40701,0.0
1589390973.202633,40715,0.0
1589390974.969711,40721,0.0
1589390996.512282,40794,0.0
1589391103.88276,41041,0.0
1589391129.727119,41129,0.0
1589391163.708578,41245,0.0
1589391171.507392,41272,0.0
1589391191.789498,41342,0.0
1589391211.807358,41410,0.0
1589391235.833947,41492,0.0
1589391249.906304,41540,0.0
1589391254.619871,41556,0.0
1589391380.864984,41872,0.0
1589391423.163048,42014,0.0
1589391491.615861,42135,0.0
1589391523.679916,42245,0.0
1589391551.555179,42340,0.0
1589391583.888874,42451,0.0
1589391589.138038,42469,0.0
1589391684.086501,42679,0.0
1589391712.931888,42777,0.0
1589391767.813327,42965,0.0
1589391772.814219,42982,0.0
1589391784.978017,43021,0.0
1589391893.847169,43279,0.0
1589391964.257338,43519,0.0
1589391974.594806,43554,0.0
1589391990.381689,43608,0.0
1589391999.813544,43640,0.0
1589392054.957841,43712,0.0
1589392062.62077,43739,0.0
1589392063.793281,43743,0.0
1589392082.37625,43806,0.0
1589392133.649334,43981,0.0
1589392137.486797,43994,0.0
1589392161.62995,44074,0.0
1589392162.811674,44078,0.0
1589392173.359578,44114,0.0
1589392198.79886,44201,0.0
1589392200.869117,44208,0.0
1589392246.355047,44252,0.0
1589392261.724195,44305,0.0
1589392343.224194,44586,0.0
1589392360.676041,44646,0.0
1589392385.221179,44730,0.0
1589392440.969966,44803,0.0
1589392445.104477,44817,0.0
1589392488.51093,44965,0.0
1589392529.733842,45105,0.0
1589392623.454399,45311,0.0
1589392626.105525,45320,0.0
1589392641.513106,45373,0.0
1589392680.978834,45508,0.0
1589392691.530152,45544,0.0
1589392725.10503,45659,0.0
1589392811.609458,45840,0.0
1589392869.142347,46034,0.0
1589392885.63888,46091,0.0
1589392908.729849,46170,0.0
1589392919.340942,46206,0.0
1589392952.486119,46319,0.0
1589392957.200317,46335,0.0
1589393013.90682,46414,0.0
1589393038.982038,46500,0.0
1589393096.740994,46697,0.0
1589393277.854438,47199,0.0
1589393290.429852,47242,0.0
1589393307.891844,47302,0.0
1589393313.806155,47322,0.0
1589393321.407408,47348,0.0
1589393380.948848,47438,0.0
1589393395.971218,47490,0.0
1589393413.5416,47550,0.0
1589393423.806451,47586,0.0
1589393439.295787,47639,0.0
1589393440.475666,47643,0.0
1589393444.234068,47656,0.0
1589393448.349894,47670,0.0
1589393455.356097,47694,0.0
1589393458.82564,47706,0.0
1589393470.277237,47745,0.0
1589393474.33466,47759,0.0
1589393544.966409,47883,0.0
1589393546.739734,47889,0.0
1589393564.00519,47948,0.0
1589393570.719743,47971,0.0
1589393602.374429,48077,0.0
1589393633.257974,48182,0.0
1589393646.786584,48228,0.0
1589393766.262148,48523,0.0
1589393803.651589,48651,0.0
1589393860.211518,48845,0.0
1589393933.7255,48983,0.0
1589394019.516839,49273,0.0
1589394035.452557,49327,0.0
1589394042.831863,49352,0.0
1589394113.099283,49478,0.0
1589394136.983817,49559,0.0
1589394154.511238,49620,0.0
1589394160.07979,49639,0.0
1589394302.097971,50007,0.0
1589394316.753209,50057,0.0
1589394343.689573,50150,0.0
1589394348.247265,50166,0.0
1589394356.921054,50196,0.0
1589394378.142259,50269,0.0
1589394411.40543,50383,0.0
1589394437.326227,50471,0.0
1589394517.660841,50630,0.0
1589394518.248551,50632,0.0
1589394572.594178,50820,0.0
1589394619.13736,50980,0.0
1589394630.267221,51016,0.0
1589394698.210565,51135,0.0
1589394725.582289,51228,0.0
1589394741.741548,51283,0.0
1589394759.236479,51343,0.0
1589394911.490119,51751,0.0
1589394925.434678,51799,0.0
1589394927.798334,51807,0.0
1589394971.01236,51955,0.0
1589394985.53048,52002,0.0
1589395004.831888,52068,0.0
1589395087.71041,52238,0.0
1589395103.898458,52293,0.0
1589395121.856076,52354,0.0
1589395131.895598,52388,0.0
1589395167.74782,52511,0.0
1589395172.843559,52529,0.0
1589395251.499439,52683,0.0
1589395286.833167,52803,0.0
1589395317.513244,52907,0.0
1589395327.239141,52940,0.0
1589395346.517628,53004,0.0
1589395349.457495,53014,0.0
1589395372.412238,53093,0.0
1589395376.824921,53108,0.0
1589395420.971476,53145,0.0
1589395496.258121,53402,0.0
1589395498.62383,53410,0.0
1589395516.06998,53469,0.0
1589395520.202845,53483,0.0
1589395618.609382,53707,0.0
1589395620.685252,53714,0.0
1589395621.796855,53718,0.0
1589395622.975914,53722,0.0
1589395664.397038,53863,0.0
1589395673.973721,53896,0.0
1589395677.134124,53907,0.0
1589395726.349255,54073,0.0
1589395730.778083,54088,0.0
1589395736.694579,54109,0.0
1589395741.128874,54124,0.0
1589395808.960057,54242,0.0
1589395874.436962,54467,0.0
1589395920.579342,54626,0.0
1589395926.993304,54648,0.0
1589395939.850308,54692,0.0
1589395947.949397,54720,0.0
