Wall time,Step,Value
1589749315.536817,43,0.0
1589749475.735358,168,0.0
1589749493.693409,230,0.0
1589749564.644484,475,0.0
1589749582.704053,537,0.0
1589749631.568006,580,0.0
1589749633.627068,587,0.0
1589749651.181558,648,0.0
1589749670.664342,715,0.0
1589749698.03181,809,1.0
1589749758.528064,1015,0.0
1589749887.446747,1334,0.5
1589749902.504805,1386,0.0
1589749917.306219,1437,0.0
1589750040.914438,1735,0.0
1589750041.790264,1738,0.0
1589750082.521489,1878,0.0
1589750244.058093,2308,0.0
1589750267.683319,2390,0.0
1589750295.333437,2486,1.0
1589750295.623655,2487,0.0
1589750353.068766,2686,0.0
1589750549.187187,3231,0.5
1589750553.794005,3247,0.0
1589750571.002773,3306,0.0
1589750696.903727,3619,0.0
1589750697.488409,3621,0.5
1589750832.241328,3957,0.0
1589750937.047963,4318,0.5
1589750960.918608,4401,0.0
1589750987.247191,4493,0.0
1589750992.089226,4510,0.0
1589751162.323537,4972,0.5
1589751247.877854,5135,0.0
1589751308.553217,5346,0.0
1589751454.42761,5724,0.5
1589751507.631097,5908,0.0
1589751531.593537,5991,0.0
1589751593.031607,6201,0.0
1589751775.167273,6700,0.5
1589751778.684855,6712,0.25
1589751856.500541,6855,0.0
1589751888.673265,6967,0.0
1589751943.870107,7156,0.0
1589752069.304612,7461,0.0
1589752070.183897,7464,0.0
1589752166.39036,7799,0.3333333432674408
1589752176.570877,7834,0.0
1589752281.805683,8067,0.0
1589752314.604461,8181,0.0
1589752326.591595,8222,1.0
1589752442.439629,8499,0.0
1589752445.284729,8509,0.5
1589752552.278857,8879,0.3333333432674408
1589752568.847094,8936,0.0
1589752700.996267,9261,0.0
1589752760.973482,9469,0.0
1589752823.847302,9555,0.6666666865348816
1589752865.547416,9699,0.0
1589753105.904304,10400,0.0
1589753128.95097,10480,0.5
1589753141.455299,10523,0.5
1589753290.510325,10906,1.0
1589753308.245622,10967,0.0
1589753324.463453,11021,0.0
1589753509.579789,11533,0.0
1589753519.391189,11567,0.0
1589753553.789303,11686,0.25
1589753673.191981,11970,0.3333333432674408
1589753674.648294,11975,0.0
1589753730.338617,12165,0.0
1589753766.466318,12291,0.0
1589753973.022106,12878,0.0
1589754055.128033,13035,0.0
1589754062.867795,13062,0.0
1589754256.777969,13598,0.5
1589754263.380827,13621,0.0
1589754495.99774,14295,1.0
1589754640.83214,14669,0.0
1589754672.679131,14780,0.0
1589754699.823343,14874,0.0
1589754910.264783,15474,0.0
1589755030.786688,15765,0.5
1589755132.861762,16117,0.0
1589755420.507709,16858,0.5
1589755481.344774,17067,0.0
1589755490.13552,17098,0.0
1589755553.683878,17318,0.0
1589755560.03513,17340,0.0
1589755655.415103,17544,1.0
1589755659.433915,17558,0.0
1589755956.293424,18452,0.0
1589756238.350527,19170,0.0
1589756342.631611,19532,1.0
1589756373.897196,19641,0.0
1589756437.156072,19732,1.0
1589756513.161017,19996,0.0
1589756530.670768,20054,0.0
1589756533.235385,20063,1.0
1589756622.188025,20245,1.0
1589756624.524382,20253,0.0
1589756645.084005,20324,0.0
1589756678.828155,20441,0.0
1589756707.219562,20540,0.0
1589756718.550149,20579,0.6666666865348816
1589756814.337093,20780,0.0
1589756815.211016,20783,0.0
1589756836.455358,20856,0.0
1589756901.795382,21081,1.0
1589756920.296811,21145,0.0
1589756945.95055,21233,1.0
1589757008.632584,21320,0.0
1589757161.151935,21849,0.3333333432674408
1589757312.479434,22246,0.3333333432674408
1589757337.094724,22331,0.0
1589757345.148553,22359,0.0
1589757645.96753,23139,0.0
1589757648.824234,23149,0.0
1589757661.539277,23193,0.0
1589757688.817104,23287,1.0
1589757710.554692,23362,0.5
1589757729.746251,23428,0.3333333432674408
1589757762.646678,23541,0.5
1589757838.77949,23671,0.0
1589757847.808612,23702,1.0
1589757977.208377,24148,0.0
1589758053.333535,24283,0.0
1589758053.916286,24285,1.0
1589758064.82439,24323,0.0
1589758151.196481,24622,0.5
1589758219.033897,24728,1.0
1589758279.184781,24935,0.6666666865348816
1589758371.821263,25254,0.0
1589758449.108584,25392,0.3333333432674408
1589758570.918514,25813,0.3333333432674408
1589758618.885069,25848,1.0
1589758640.199425,25922,0.0
1589758750.955912,26304,0.5
1589758930.878388,26798,0.0
1589758931.169737,26799,0.0
1589759071.802736,27155,1.0
1589759173.232109,27506,0.0
1589759238.649475,27604,0.25
1589759248.843214,27639,1.0
1589759302.610215,27826,0.0
1589759329.072736,27917,0.0
1589759517.402984,28439,0.0
1589759547.573491,28544,0.0
1589759708.14987,28971,1.0
1589759715.75291,28997,0.0
1589759735.475562,29063,0.0
1589759813.921771,29202,0.5
1589759831.857174,29264,0.0
1589759892.113033,29472,0.6666666865348816
1589759932.442973,29612,0.0
1589760033.149698,29830,0.6666666865348816
1589760084.994956,30006,0.0
1589760092.39769,30032,0.0
1589760133.578768,30175,1.0
1589760214.42155,30328,0.0
1589760255.764612,30471,0.0
1589760296.875706,30613,0.0
1589760323.975571,30707,0.0
